DATE,VALUE
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,.
1948-01-01,9.50226
1948-04-01,10.79984
1948-07-01,11.75530
1948-10-01,7.83711
1949-01-01,3.45605
1949-04-01,-0.43972
1949-07-01,-2.21825
1949-10-01,-3.45565
1950-01-01,2.10603
1950-04-01,6.99301
1950-07-01,12.87962
1950-10-01,18.19188
1951-01-01,19.63016
1951-04-01,18.50705
1951-07-01,14.03566
1951-10-01,11.33313
1952-01-01,7.07491
1952-04-01,4.90566
1952-07-01,4.63331
1952-10-01,6.89849
1953-01-01,7.85675
1953-04-01,8.55008
1953-07-01,6.41130
1953-10-01,1.39035
1954-01-01,-0.66924
1954-04-01,-1.42748
1954-07-01,-0.02553
1954-10-01,3.57050
1955-01-01,7.22985
1955-04-01,9.18024
1955-07-01,10.03575
1955-10-01,9.36797
1956-01-01,6.45239
1956-04-01,5.82662
1956-07-01,4.89673
1956-10-01,5.36775
1957-01-01,6.83314
1957-04-01,5.81916
1957-07-01,6.26106
1957-10-01,3.12161
1958-01-01,-0.46749
1958-04-01,0.00000
1958-07-01,1.33250
1958-10-01,5.19235
1959-01-01,9.11614
1959-04-01,10.87140
1959-07-01,7.91042
1959-10-01,5.77538
1960-01-01,6.30014
1960-04-01,3.52919
1960-07-01,3.96040
1960-10-01,2.22936
1961-01-01,0.47856
1961-04-01,2.70868
1961-07-01,4.06593
1961-10-01,7.48475
1962-01-01,9.03096
1962-04-01,8.10908
1962-07-01,7.28617
1962-10-01,5.41609
1963-01-01,4.62030
1963-04-01,4.84567
1963-07-01,5.80709
1963-10-01,6.80150
1964-01-01,7.77260
1964-04-01,7.75562
1964-07-01,7.41085
1964-10-01,6.65852
1965-01-01,7.16734
1965-04-01,7.57932
1965-07-01,8.28522
1965-10-01,10.69588
1966-01-01,10.85929
1966-04-01,10.21300
1966-07-01,9.41082
1966-10-01,7.99379
1967-01-01,6.10811
1967-04-01,5.43855
1967-07-01,5.57992
1967-10-01,5.78512
1968-01-01,7.69504
1968-04-01,10.01057
1968-07-01,9.88922
1968-10-01,9.83922
1969-01-01,9.25255
1969-04-01,8.02093
1969-07-01,8.36921
1969-10-01,7.27760
1970-01-01,5.83685
1970-04-01,5.80384
1970-07-01,5.47481
1970-10-01,4.88133
1971-01-01,8.00190
1971-04-01,8.34501
1971-07-01,8.43362
1971-10-01,9.35410
1972-01-01,8.43734
1972-04-01,9.54804
1972-07-01,9.61620
1972-10-01,11.59517
1973-01-01,11.90631
1973-04-01,11.61326
1973-07-01,11.05271
1973-10-01,11.04354
1974-01-01,8.25668
1974-04-01,8.22517
1974-07-01,8.81125
1974-10-01,8.37672
1975-01-01,8.35619
1975-04-01,7.96506
1975-07-01,9.62006
1975-10-01,10.16220
1976-01-01,12.65127
1976-04-01,12.10456
1976-07-01,10.31042
1976-10-01,9.76839
1977-01-01,9.20800
1977-04-01,10.94835
1977-07-01,12.26660
1977-10-01,11.88093
1978-01-01,10.85069
1978-04-01,13.41617
1978-07-01,13.02770
1978-10-01,14.45566
1979-01-01,14.61946
1979-04-01,11.09732
1979-07-01,11.31769
1979-10-01,10.01128
1980-01-01,10.46374
1980-04-01,7.85855
1980-07-01,7.10006
1980-10-01,9.62391
1981-01-01,11.98999
1981-04-01,13.12190
1981-07-01,14.02797
1981-10-01,9.68766
1982-01-01,4.53413
1982-04-01,5.17791
1982-07-01,3.24727
1982-10-01,3.78559
1983-01-01,6.30765
1983-04-01,7.57962
1983-07-01,9.65816
1983-10-01,11.39445
1984-01-01,12.42709
1984-04-01,12.03192
1984-07-01,10.70065
1984-10-01,9.25950
1985-01-01,8.28563
1985-04-01,7.15567
1985-07-01,7.51578
1985-10-01,7.36571
1986-01-01,6.59193
1986-04-01,5.87825
1986-07-01,5.11992
1986-10-01,4.85729
1987-01-01,4.86903
1987-04-01,5.84607
1987-07-01,6.08061
1987-10-01,7.56628
1988-01-01,7.48279
1988-04-01,8.00996
1988-07-01,8.14203
1988-10-01,7.76475
1989-01-01,8.58052
1989-04-01,8.07842
1989-07-01,7.77621
1989-10-01,6.47921
1990-01-01,6.57452
1990-04-01,6.15273
1990-07-01,5.56587
1990-10-01,4.50949
1991-01-01,2.78570
1991-04-01,2.82692
1991-07-01,3.13293
1991-10-01,4.25016
1992-01-01,5.38242
1992-04-01,5.67583
1992-07-01,5.91953
1992-10-01,6.66157
1993-01-01,5.75790
1993-04-01,5.19539
1993-07-01,4.82350
1993-10-01,5.00478
1994-01-01,5.75116
1994-04-01,6.44547
1994-07-01,6.49025
1994-10-01,6.31185
1995-01-01,5.73126
1995-04-01,4.60948
1995-07-01,4.81754
1995-10-01,4.31741
1996-01-01,4.60949
1996-04-01,6.00402
1996-07-01,5.87167
1996-10-01,6.25168
1997-01-01,6.44867
1997-04-01,6.08324
1997-07-01,6.53021
1997-10-01,6.04795
1998-01-01,5.80331
1998-04-01,5.17780
1998-07-01,5.23137
1998-10-01,6.11495
1999-01-01,6.27018
1999-04-01,6.25146
1999-07-01,6.18597
1999-10-01,6.43812
2000-01-01,6.18073
2000-04-01,7.54735
2000-07-01,6.64209
2000-10-01,5.50266
2001-01-01,4.75626
2001-04-01,3.50350
2001-07-01,2.72366
2001-10-01,2.18672
2002-01-01,3.10522
2002-04-01,2.78613
2002-07-01,3.73702
2002-10-01,3.76123
2003-01-01,3.65226
2003-04-01,3.98636
2003-07-01,5.32749
2003-10-01,6.42123
2004-01-01,6.75239
2004-04-01,7.12973
2004-07-01,6.38790
2004-10-01,6.30797
2005-01-01,6.88415
2005-04-01,6.50746
2005-07-01,6.77329
2005-10-01,6.52274
2006-01-01,6.51802
2006-04-01,6.36422
2006-07-01,5.32434
2006-10-01,5.11747
2007-01-01,4.28093
2007-04-01,4.51093
2007-07-01,4.75393
2007-10-01,4.39985
2008-01-01,3.05764
2008-04-01,2.70900
2008-07-01,1.87581
2008-10-01,-0.92201
2009-01-01,-1.93954
2009-04-01,-3.19044
2009-07-01,-3.09169
2009-10-01,0.11409
2010-01-01,2.06620
2010-04-01,3.82277
2010-07-01,4.68295
2010-10-01,4.55635
2011-01-01,3.79604
2011-04-01,3.84388
2011-07-01,3.51581
2011-10-01,3.64473
2012-01-01,4.71244
2012-04-01,4.09937
2012-07-01,4.37413
2012-10-01,3.46652
2013-01-01,3.42118
2013-04-01,3.25884
2013-07-01,3.70892
2013-10-01,4.56636
2014-01-01,3.28195
2014-04-01,4.26615
2014-07-01,4.31180
2014-10-01,3.66196
2015-01-01,3.80955
