"mon","prez_gop","gov_gop","sen_gop","rep_gop","prez_dem","gov_dem","sen_dem","rep_dem"
1947-01-15,0,23,51,253,1,23,45,198
1947-02-15,0,23,51,253,1,23,45,198
1947-03-15,0,23,51,253,1,23,45,198
1947-04-15,0,23,51,253,1,23,45,198
1947-05-15,0,23,51,253,1,23,45,198
1947-06-15,0,23,51,253,1,23,45,198
1947-07-15,0,23,51,253,1,23,45,198
1947-08-15,0,23,51,253,1,23,45,198
1947-09-15,0,23,51,253,1,23,45,198
1947-10-15,0,23,51,253,1,23,45,198
1947-11-15,0,24,51,253,1,23,45,198
1947-12-15,0,24,51,253,1,23,45,198
1948-01-15,0,22,53,253,1,24,48,198
1948-02-15,0,22,53,253,1,24,48,198
1948-03-15,0,22,53,253,1,24,48,198
1948-04-15,0,22,53,253,1,24,48,198
1948-05-15,0,22,53,253,1,24,48,198
1948-06-15,0,22,53,253,1,24,48,198
1948-07-15,0,22,53,253,1,24,48,198
1948-08-15,0,22,53,253,1,24,48,198
1948-09-15,0,22,53,253,1,24,48,198
1948-10-15,0,22,53,253,1,24,48,198
1948-11-15,0,22,53,253,1,24,48,198
1948-12-15,0,22,53,253,1,24,48,198
1949-01-15,0,18,45,177,1,29,58,269
1949-02-15,0,18,45,177,1,29,58,269
1949-03-15,0,18,45,177,1,29,58,269
1949-04-15,0,18,45,177,1,29,58,269
1949-05-15,0,18,45,177,1,29,58,269
1949-06-15,0,18,45,177,1,29,58,269
1949-07-15,0,18,45,177,1,30,58,269
1949-08-15,0,18,45,177,1,30,58,269
1949-09-15,0,18,45,177,1,30,58,269
1949-10-15,0,18,45,177,1,30,58,269
1949-11-15,0,18,45,177,1,30,58,269
1949-12-15,0,18,45,177,1,30,58,269
1950-01-15,0,18,44,177,1,29,57,269
1950-02-15,0,18,44,177,1,29,57,269
1950-03-15,0,18,44,177,1,29,57,269
1950-04-15,0,18,44,177,1,29,57,269
1950-05-15,0,18,44,177,1,29,57,269
1950-06-15,0,18,44,177,1,29,57,269
1950-07-15,0,18,44,177,1,29,57,269
1950-08-15,0,18,44,177,1,29,57,269
1950-09-15,0,18,44,177,1,29,57,269
1950-10-15,0,18,44,177,1,29,57,269
1950-11-15,0,18,44,177,1,29,57,269
1950-12-15,0,18,44,177,1,29,57,269
1951-01-15,0,24,47,207,1,22,51,242
1951-02-15,0,24,47,207,1,22,51,242
1951-03-15,0,24,47,207,1,22,51,242
1951-04-15,0,24,47,207,1,22,51,242
1951-05-15,0,24,47,207,1,22,51,242
1951-06-15,0,24,47,207,1,22,51,242
1951-07-15,0,24,47,207,1,22,51,242
1951-08-15,0,24,47,207,1,22,51,242
1951-09-15,0,24,47,207,1,22,51,242
1951-10-15,0,25,47,207,1,22,51,242
1951-11-15,0,25,47,207,1,22,51,242
1951-12-15,0,25,47,207,1,22,51,242
1952-01-15,0,24,50,207,1,22,50,242
1952-02-15,0,24,50,207,1,22,50,242
1952-03-15,0,24,50,207,1,22,50,242
1952-04-15,0,24,50,207,1,22,50,242
1952-05-15,0,24,50,207,1,22,50,242
1952-06-15,0,24,50,207,1,22,50,242
1952-07-15,0,24,50,207,1,22,50,242
1952-08-15,0,24,50,207,1,22,50,242
1952-09-15,0,24,50,207,1,22,50,242
1952-10-15,0,24,50,207,1,22,50,242
1952-11-15,0,24,50,207,1,22,50,242
1952-12-15,0,24,50,207,1,22,50,242
1953-01-15,1,29,50,222,0,17,49,220
1953-02-15,1,29,50,222,0,17,49,220
1953-03-15,1,29,50,222,0,17,49,220
1953-04-15,1,29,50,222,0,17,49,220
1953-05-15,1,29,50,222,0,17,49,220
1953-06-15,1,29,50,222,0,17,49,220
1953-07-15,1,29,50,222,0,17,49,220
1953-08-15,1,29,50,222,0,17,49,220
1953-09-15,1,29,50,222,0,17,49,220
1953-10-15,1,30,50,222,0,18,49,220
1953-11-15,1,30,50,222,0,18,49,220
1953-12-15,1,30,50,222,0,18,49,220
1954-01-15,1,29,55,222,0,18,53,220
1954-02-15,1,29,55,222,0,18,53,220
1954-03-15,1,29,55,222,0,18,53,220
1954-04-15,1,29,55,222,0,18,53,220
1954-05-15,1,29,55,222,0,18,53,220
1954-06-15,1,29,55,222,0,18,53,220
1954-07-15,1,29,55,222,0,18,53,220
1954-08-15,1,29,55,222,0,18,53,220
1954-09-15,1,29,55,222,0,18,53,220
1954-10-15,1,29,55,222,0,18,53,220
1954-11-15,1,29,55,222,0,19,53,220
1954-12-15,1,29,55,222,0,19,53,220
1955-01-15,1,21,47,204,0,26,48,237
1955-02-15,1,21,47,204,0,26,48,237
1955-03-15,1,21,47,204,0,26,48,237
1955-04-15,1,21,47,204,0,26,48,237
1955-05-15,1,21,47,204,0,26,48,237
1955-06-15,1,21,47,204,0,26,48,237
1955-07-15,1,21,47,204,0,26,48,237
1955-08-15,1,21,47,204,0,26,48,237
1955-09-15,1,21,47,204,0,26,48,237
1955-10-15,1,21,47,204,0,26,48,237
1955-11-15,1,21,47,204,0,26,48,237
1955-12-15,1,21,47,204,0,26,48,237
1956-01-15,1,21,49,204,0,26,51,237
1956-02-15,1,21,49,204,0,26,51,237
1956-03-15,1,21,49,204,0,26,51,237
1956-04-15,1,21,49,204,0,26,50,237
1956-05-15,1,21,49,204,0,26,50,237
1956-06-15,1,21,49,204,0,26,50,237
1956-07-15,1,21,49,204,0,26,50,237
1956-08-15,1,21,49,204,0,26,50,237
1956-09-15,1,21,49,204,0,26,50,237
1956-10-15,1,21,49,204,0,26,50,237
1956-11-15,1,21,49,204,0,26,51,237
1956-12-15,1,21,49,204,0,26,51,237
1957-01-15,1,19,47,203,0,28,52,242
1957-02-15,1,19,47,203,0,28,52,242
1957-03-15,1,19,47,203,0,28,52,242
1957-04-15,1,19,47,203,0,28,52,242
1957-05-15,1,19,47,203,0,28,52,242
1957-06-15,1,19,47,203,0,28,52,242
1957-07-15,1,19,47,203,0,28,52,242
1957-08-15,1,19,47,203,0,28,52,242
1957-09-15,1,20,47,203,0,28,52,242
1957-10-15,1,20,47,203,0,28,52,242
1957-11-15,1,20,47,203,0,28,52,242
1957-12-15,1,20,47,203,0,28,52,242
1958-01-15,1,20,47,203,0,28,52,242
1958-02-15,1,20,47,203,0,28,52,242
1958-03-15,1,20,47,203,0,28,52,242
1958-04-15,1,20,47,203,0,28,52,242
1958-05-15,1,20,47,203,0,28,52,242
1958-06-15,1,20,47,203,0,28,52,242
1958-07-15,1,20,47,203,0,28,52,242
1958-08-15,1,20,47,203,0,28,52,242
1958-09-15,1,20,47,203,0,28,52,242
1958-10-15,1,20,47,203,0,28,52,242
1958-11-15,1,20,47,203,0,28,52,242
1958-12-15,1,20,47,203,0,28,52,242
1959-01-15,1,15,35,159,0,35,65,289
1959-02-15,1,15,35,159,0,35,65,289
1959-03-15,1,15,35,159,0,35,65,289
1959-04-15,1,15,35,159,0,35,65,289
1959-05-15,1,15,35,159,0,35,65,289
1959-06-15,1,15,35,159,0,35,65,289
1959-07-15,1,15,35,159,0,35,65,289
1959-08-15,1,15,35,159,0,35,65,289
1959-09-15,1,15,35,159,0,35,65,289
1959-10-15,1,15,35,159,0,35,65,289
1959-11-15,1,15,35,159,0,35,65,289
1959-12-15,1,15,35,159,0,35,65,289
1960-01-15,1,16,35,159,0,34,70,289
1960-02-15,1,16,35,159,0,34,70,289
1960-03-15,1,16,35,159,0,34,70,289
1960-04-15,1,16,35,159,0,34,70,289
1960-05-15,1,16,35,159,0,34,70,289
1960-06-15,1,16,35,159,0,34,70,289
1960-07-15,1,16,35,159,0,34,70,289
1960-08-15,1,16,35,159,0,34,70,289
1960-09-15,1,17,35,159,0,34,70,289
1960-10-15,1,17,35,159,0,34,70,289
1960-11-15,1,17,35,159,0,34,70,289
1960-12-15,1,17,35,159,0,34,70,289
1961-01-15,0,16,37,176,1,34,64,273
1961-02-15,0,16,37,176,1,34,64,273
1961-03-15,0,16,37,176,1,34,64,273
1961-04-15,0,16,37,176,1,34,64,273
1961-05-15,0,16,37,176,1,34,64,273
1961-06-15,0,16,37,176,1,34,64,273
1961-07-15,0,16,37,176,1,34,64,273
1961-08-15,0,16,37,176,1,34,64,273
1961-09-15,0,16,37,176,1,34,64,273
1961-10-15,0,16,37,176,1,34,64,273
1961-11-15,0,16,37,176,1,34,64,273
1961-12-15,0,16,37,176,1,34,64,273
1962-01-15,0,16,42,176,1,34,65,273
1962-02-15,0,16,42,176,1,34,65,273
1962-03-15,0,16,42,176,1,34,65,273
1962-04-15,0,16,42,176,1,34,65,273
1962-05-15,0,16,42,176,1,34,65,273
1962-06-15,0,16,42,176,1,34,65,273
1962-07-15,0,16,42,176,1,34,65,273
1962-08-15,0,16,42,176,1,34,65,273
1962-09-15,0,16,42,176,1,34,65,273
1962-10-15,0,16,42,176,1,34,65,273
1962-11-15,0,16,42,176,1,34,65,273
1962-12-15,0,16,42,176,1,34,65,273
1963-01-15,0,17,34,182,1,33,68,262
1963-02-15,0,17,34,182,1,33,68,262
1963-03-15,0,16,34,182,1,34,68,262
1963-04-15,0,16,34,182,1,34,68,262
1963-05-15,0,16,34,182,1,34,68,262
1963-06-15,0,16,34,182,1,34,68,262
1963-07-15,0,16,34,182,1,34,68,262
1963-08-15,0,16,34,182,1,34,68,262
1963-09-15,0,16,34,182,1,34,68,262
1963-10-15,0,16,34,182,1,34,68,262
1963-11-15,0,16,34,182,1,34,68,262
1963-12-15,0,16,34,182,1,34,68,262
1964-01-15,0,16,34,182,1,34,71,262
1964-02-15,0,16,34,182,1,34,71,262
1964-03-15,0,16,34,182,1,34,71,262
1964-04-15,0,16,34,182,1,34,71,262
1964-05-15,0,16,34,182,1,34,71,262
1964-06-15,0,16,34,182,1,34,71,262
1964-07-15,0,16,34,182,1,34,71,262
1964-08-15,0,16,34,182,1,34,71,262
1964-09-15,0,16,34,182,1,34,71,262
1964-10-15,0,16,34,182,1,34,71,262
1964-11-15,0,16,34,182,1,34,71,262
1964-12-15,0,16,34,182,1,34,71,262
1965-01-15,0,17,32,141,1,33,69,301
1965-02-15,0,17,32,141,1,33,69,301
1965-03-15,0,17,32,141,1,33,69,301
1965-04-15,0,17,32,141,1,33,69,301
1965-05-15,0,17,32,141,1,33,69,301
1965-06-15,0,17,32,141,1,33,69,301
1965-07-15,0,17,32,141,1,33,69,301
1965-08-15,0,17,32,141,1,33,69,301
1965-09-15,0,17,32,141,1,33,69,301
1965-10-15,0,17,32,141,1,33,69,301
1965-11-15,0,17,32,141,1,33,69,301
1965-12-15,0,17,32,141,1,33,69,301
1966-01-15,0,18,33,141,1,33,70,301
1966-02-15,0,18,33,141,1,33,70,301
1966-03-15,0,18,33,141,1,33,70,301
1966-04-15,0,18,33,141,1,33,70,301
1966-05-15,0,18,33,141,1,33,70,301
1966-06-15,0,18,33,141,1,33,70,301
1966-07-15,0,18,33,141,1,33,70,301
1966-08-15,0,18,33,141,1,33,70,301
1966-09-15,0,18,33,141,1,33,70,301
1966-10-15,0,18,33,141,1,33,70,301
1966-11-15,0,18,33,141,1,33,70,301
1966-12-15,0,18,33,141,1,33,70,301
1967-01-15,0,25,36,188,1,27,64,251
1967-02-15,0,25,36,188,1,27,64,251
1967-03-15,0,25,36,188,1,27,64,251
1967-04-15,0,25,36,188,1,27,64,251
1967-05-15,0,25,36,188,1,27,64,251
1967-06-15,0,25,36,188,1,27,64,251
1967-07-15,0,25,36,188,1,27,64,251
1967-08-15,0,25,36,188,1,27,64,251
1967-09-15,0,25,36,188,1,27,64,251
1967-10-15,0,25,36,188,1,27,64,251
1967-11-15,0,25,36,188,1,27,64,251
1967-12-15,0,25,36,188,1,27,64,251
1968-01-15,0,26,39,188,1,26,65,251
1968-02-15,0,26,39,188,1,26,65,251
1968-03-15,0,26,39,188,1,26,65,251
1968-04-15,0,26,39,188,1,26,65,251
1968-05-15,0,26,39,188,1,26,65,251
1968-06-15,0,26,39,188,1,26,65,251
1968-07-15,0,26,39,188,1,26,65,251
1968-08-15,0,26,39,188,1,26,65,251
1968-09-15,0,26,39,188,1,26,65,251
1968-10-15,0,26,39,188,1,26,65,251
1968-11-15,0,26,39,188,1,26,65,251
1968-12-15,0,26,39,188,1,26,65,251
1969-01-15,1,31,43,199,0,22,57,250
1969-02-15,1,31,43,199,0,22,57,250
1969-03-15,1,31,43,199,0,22,57,250
1969-04-15,1,31,43,199,0,22,57,250
1969-05-15,1,31,43,199,0,22,57,250
1969-06-15,1,31,43,199,0,22,57,250
1969-07-15,1,31,43,199,0,22,57,250
1969-08-15,1,31,43,199,0,22,57,250
1969-09-15,1,31,43,199,0,22,57,250
1969-10-15,1,31,43,199,0,22,57,250
1969-11-15,1,31,43,199,0,22,57,250
1969-12-15,1,31,43,199,0,22,57,250
1970-01-15,1,32,43,199,0,20,58,250
1970-02-15,1,32,43,199,0,20,58,250
1970-03-15,1,32,43,199,0,20,58,250
1970-04-15,1,32,43,199,0,20,58,250
1970-05-15,1,32,43,199,0,20,58,250
1970-06-15,1,32,43,199,0,20,58,250
1970-07-15,1,32,43,199,0,20,58,250
1970-08-15,1,32,43,199,0,20,58,250
1970-09-15,1,32,43,199,0,20,58,250
1970-10-15,1,32,43,199,0,20,58,250
1970-11-15,1,32,43,199,0,20,58,250
1970-12-15,1,32,43,199,0,20,58,250
1971-01-15,1,21,44,185,0,30,55,259
1971-02-15,1,21,44,185,0,30,55,259
1971-03-15,1,21,44,185,0,30,55,259
1971-04-15,1,21,44,185,0,30,55,259
1971-05-15,1,21,44,185,0,30,55,259
1971-06-15,1,21,44,185,0,30,55,259
1971-07-15,1,21,44,185,0,30,55,259
1971-08-15,1,21,44,185,0,30,55,259
1971-09-15,1,21,44,185,0,30,55,259
1971-10-15,1,21,44,185,0,30,55,259
1971-11-15,1,21,44,185,0,30,55,259
1971-12-15,1,21,44,185,0,30,55,259
1972-01-15,1,20,44,185,0,31,57,259
1972-02-15,1,20,44,185,0,31,57,259
1972-03-15,1,20,44,185,0,31,57,259
1972-04-15,1,20,44,185,0,31,57,259
1972-05-15,1,20,44,185,0,31,57,259
1972-06-15,1,20,44,185,0,31,57,259
1972-07-15,1,20,44,185,0,31,57,259
1972-08-15,1,20,44,185,0,31,57,259
1972-09-15,1,20,44,185,0,31,57,259
1972-10-15,1,20,44,185,0,31,57,259
1972-11-15,1,20,44,185,0,31,57,259
1972-12-15,1,20,44,185,0,31,57,259
1973-01-15,1,19,42,195,0,32,56,249
1973-02-15,1,19,42,195,0,32,56,249
1973-03-15,1,19,42,195,0,32,56,249
1973-04-15,1,19,42,195,0,32,56,249
1973-05-15,1,19,42,195,0,32,56,249
1973-06-15,1,19,42,195,0,32,56,249
1973-07-15,1,19,42,195,0,32,56,249
1973-08-15,1,20,42,195,0,32,56,249
1973-09-15,1,20,42,195,0,32,56,249
1973-10-15,1,20,42,195,0,32,56,249
1973-11-15,1,20,42,195,0,32,56,249
1973-12-15,1,20,42,195,0,32,56,249
1974-01-15,1,18,45,195,0,34,59,249
1974-02-15,1,18,45,195,0,34,59,249
1974-03-15,1,18,45,195,0,34,59,249
1974-04-15,1,18,45,195,0,34,59,249
1974-05-15,1,18,45,195,0,34,59,249
1974-06-15,1,18,45,195,0,34,59,249
1974-07-15,1,18,45,195,0,34,59,249
1974-08-15,2,18,45,195,0,34,59,249
1974-09-15,2,18,45,195,0,34,59,249
1974-10-15,2,18,45,195,0,34,59,249
1974-11-15,2,18,45,195,0,34,59,249
1974-12-15,2,18,45,195,0,34,59,249
1975-01-15,1,13,38,148,0,37,61,295
1975-02-15,1,13,38,148,0,37,61,295
1975-03-15,1,13,38,148,0,37,61,295
1975-04-15,1,13,38,148,0,37,61,295
1975-05-15,1,13,38,148,0,37,61,295
1975-06-15,1,13,38,148,0,37,61,295
1975-07-15,1,13,38,148,0,37,61,295
1975-08-15,1,13,38,148,0,37,61,295
1975-09-15,1,13,38,148,0,37,61,295
1975-10-15,1,13,38,148,0,37,61,295
1975-11-15,1,13,38,148,0,37,61,295
1975-12-15,1,13,38,148,0,37,61,295
1976-01-15,1,13,39,148,0,37,65,295
1976-02-15,1,13,39,148,0,37,65,295
1976-03-15,1,13,39,148,0,37,65,295
1976-04-15,1,13,39,148,0,37,65,295
1976-05-15,1,13,39,148,0,37,65,295
1976-06-15,1,13,39,148,0,37,65,295
1976-07-15,1,13,39,148,0,37,65,295
1976-08-15,1,13,39,148,0,37,65,295
1976-09-15,1,13,39,148,0,37,65,295
1976-10-15,1,13,39,148,0,37,65,295
1976-11-15,1,13,39,148,0,37,65,295
1976-12-15,1,13,39,148,0,37,65,295
1977-01-15,0,12,38,147,1,38,62,294
1977-02-15,0,12,38,147,1,38,62,294
1977-03-15,0,12,38,147,1,38,62,294
1977-04-15,0,12,38,147,1,38,62,294
1977-05-15,0,12,38,147,1,38,62,294
1977-06-15,0,12,38,147,1,39,62,294
1977-07-15,0,12,38,147,1,40,62,294
1977-08-15,0,12,38,147,1,40,62,294
1977-09-15,0,12,38,147,1,40,62,294
1977-10-15,0,12,38,147,1,40,62,294
1977-11-15,0,12,38,147,1,41,62,294
1977-12-15,0,12,38,147,1,41,62,294
1978-01-15,0,12,41,147,1,38,66,294
1978-02-15,0,12,41,147,1,38,66,294
1978-03-15,0,12,41,147,1,38,66,294
1978-04-15,0,12,41,147,1,38,66,294
1978-05-15,0,12,41,147,1,38,66,294
1978-06-15,0,12,41,147,1,38,66,294
1978-07-15,0,12,41,147,1,38,66,294
1978-08-15,0,12,41,147,1,39,66,294
1978-09-15,0,12,41,147,1,39,66,294
1978-10-15,0,12,41,147,1,39,66,294
1978-11-15,0,12,41,147,1,39,66,294
1978-12-15,0,12,41,147,1,39,66,294
1979-01-15,0,19,41,160,1,32,58,280
1979-02-15,0,19,41,160,1,32,58,280
1979-03-15,0,19,41,160,1,32,58,280
1979-04-15,0,19,41,160,1,32,58,280
1979-05-15,0,19,41,160,1,32,58,280
1979-06-15,0,19,41,160,1,32,58,280
1979-07-15,0,19,41,160,1,32,58,280
1979-08-15,0,19,41,160,1,32,58,280
1979-09-15,0,19,41,160,1,32,58,280
1979-10-15,0,19,41,160,1,32,58,280
1979-11-15,0,19,41,160,1,32,58,280
1979-12-15,0,19,41,160,1,32,58,280
1980-01-15,0,19,42,160,1,32,59,280
1980-02-15,0,19,42,160,1,32,59,280
1980-03-15,0,20,42,160,1,31,59,280
1980-04-15,0,20,42,160,1,31,59,280
1980-05-15,0,20,42,160,1,31,59,280
1980-06-15,0,20,42,160,1,31,59,280
1980-07-15,0,20,42,160,1,31,59,280
1980-08-15,0,20,42,160,1,31,59,280
1980-09-15,0,20,42,160,1,31,59,280
1980-10-15,0,20,42,160,1,31,59,280
1980-11-15,0,20,42,160,1,31,59,280
1980-12-15,0,20,42,160,1,31,59,280
1981-01-15,1,24,53,196,0,27,46,246
