age,sex,weight,height,armc
41,1,12.8,91.2,14.3
57,2,14.9,103.9,13.9
35,2,12.1,86.4,14.4
46,1,13.9,96.4,13.5
26,2,8.7,78.5,12.1
57,1,12.1,89.9,13.9
22,1,9.8,79.1,13
55,1,13.7,92.6,13.6
20,1,10.1,77.7,14.5
36,2,11.2,79.8,14.4
23,1,10,78.3,13.8
41,1,14,96,15.1
52,2,15.1,101.7,13.9
18,1,8.8,75.1,13
54,2,13.8,90.1,15.3
18,1,8.7,75.8,13.6
16,1,8.5,74.3,13.4
39,1,12.1,85.6,13.9
31,2,13.1,81.5,15.6
30,2,10.1,79,13.3
44,2,11.6,90,13.6
35,1,12,79.6,15.4
29,2,10.6,82.7,13.6
45,1,13.9,89.1,15.1
19,1,9.1,74.3,14.2
53,1,15.4,99.3,15
17,2,8.7,69.2,15
50,2,12.6,85.4,14.9
24,2,10.1,78.7,15.4
48,1,16.2,98.7,15.2
28,2,10.2,78.3,14
34,2,13.2,84.2,15.9
31,1,11.2,83.2,14
16,1,10,75.6,14.4
15,1,7,69.5,11.8
37,1,12.2,85.5,13.8
20,1,8.8,76.8,13.3
33,1,11,85.5,13.7
30,1,10.5,75.3,14.2
30,1,10.8,84.9,13.8
56,1,14.1,99.2,14.5
51,1,15,98.4,14.6
26,1,9.9,79.1,13
21,1,9.3,76.8,13.5
36,1,10.5,82.3,13.5
58,2,12.3,89.5,13.4
15,1,9.5,75.1,14.3
43,2,16.7,96.4,16
32,1,12,85.5,13.7
16,2,8,71.2,13.3
40,2,13,89.5,14
41,2,11.2,83.2,13.4
15,1,8.1,71.5,12.7
35,2,12.1,85,14.5
35,1,11.8,88.9,13.8
58,2,12,93.8,13.7
45,1,14.3,89.7,15.4
29,2,10,78.8,13.7
46,1,12.4,88.1,13.9
14,2,5.8,63.6,10.9
53,1,16.5,100.4,14.4
36,2,11.8,88.7,13.8
53,1,16.5,103.2,15
13,1,8.2,69.2,13.9
36,1,11.3,81.5,14.2
17,1,8,73.1,13.4
59,2,12.3,91.1,13.8
30,1,9.4,79.5,13.2
31,2,11.1,85.2,13.9
25,2,9.4,80.5,13.1
17,2,9.7,76.3,14
36,1,13,89,14.8
27,1,12.5,84.7,14.5
43,1,13.2,87,14.5
57,2,13.4,94.6,14.2
31,2,10.2,81.8,14
58,2,13.7,96.7,14.4
39,1,10.2,80,13.5
17,2,8.8,75.8,12.5
51,1,12.2,93.9,12.3
17,2,8.2,74.5,12.5
49,1,13.5,94.8,13.5
60,1,13.8,97.2,14
51,1,12.6,87.9,14.2
17,2,6.8,67.7,12.6
40,2,10.5,80.5,13.8
31,1,13,86.5,14.7
21,1,9.7,72.7,14.5
40,2,12.9,82.8,15.5
18,2,7.4,75,11.6
52,2,12.5,92.8,14
13,1,6,68.8,10.9
35,1,11.8,85.5,14.3
30,2,9.2,79.5,12.9
37,1,11.5,86.2,14.2
14,1,8.7,72.3,12.9
18,1,8.9,73.5,13.1
39,1,12.8,89.7,14.8
56,1,14,98,14.2
50,2,14.9,97,16
19,2,7.6,71.6,12.8
50,1,12.1,90.4,13.2
46,1,13.9,94.5,16.2
38,1,11.7,96.6,13
36,1,10.6,80.3,13
47,2,9.1,81.9,12.5
48,2,9.9,84.5,11.8
19,2,8.8,76.4,13.7
60,1,11.9,87.4,14.5
18,2,7.9,74.2,13.4
57,1,12.5,89,14
51,1,14.9,95.8,15
14,2,5.2,62.5,11.1
58,1,13.9,101.4,14.2
36,2,11.5,88,14.6
38,1,9.2,80.8,12.5
49,1,12.4,91.8,13.4
24,1,9.1,74.7,14.4
50,2,10.6,86.8,13.5
31,1,10.3,82.2,13.5
54,1,15.2,100.3,14.7
59,1,16,100.2,16.5
41,1,12.4,87.5,15.1
21,2,8.5,80,12.2
14,2,7.2,73.9,12.1
37,2,14,100,14.5
21,2,7.8,74.2,12.4
53,2,12.7,97.2,13.5
36,1,11.7,90.5,12.6
36,1,8.4,76.2,12.6
30,1,10.1,80,13.2
14,1,5.4,66.8,11
39,1,8.1,75.7,12.7
30,2,9,79.6,13.2
48,2,10.6,85.7,14.5
14,2,7.9,70.7,14.6
20,1,8.2,76.5,13
17,2,7,72.5,12.5
59,1,15.7,100.2,15.2
20,2,7.3,72.3,11.5
60,1,12.4,88.7,15
57,1,15.2,101.2,15.1
16,1,8.4,71.5,14
15,1,8,73.5,13.6
56,2,12.2,89.5,15.3
26,1,8.2,76.3,13.7
14,1,8.3,73.6,14.5
46,1,11.8,84.5,14.9
27,1,12.1,88.7,14.1
39,2,9.7,77.3,14.3
22,1,9.1,83.3,13.2
53,2,11.7,93,14.1
37,1,12.1,93,14.5
39,1,12.2,82.5,15.9
41,1,8,80.5,9.6
15,2,8.6,73.3,13.3
36,1,12.3,83.3,15.7
13,1,7.7,67.1,13.3
48,2,11.9,87,15.1
45,1,11.5,90.3,13.7
24,2,8.5,75.1,13.1
15,2,4.6,58.8,10.7
23,1,9.7,80,13.3
26,2,10.4,83.5,14
34,2,11.2,85.5,13.7
34,1,10.7,82.3,14.5
47,1,12.1,94.5,13
41,1,11,91.2,14.3
27,1,10.6,81.5,13.7
57,2,14.6,101.6,15.1
26,1,10.6,81,15.1
28,2,10.4,82,14
13,2,7.7,73,13.5
42,2,13,96,15
58,2,14.2,92.8,16.2
19,1,9.7,79.4,14.6
35,1,10.4,79.5,14.5
15,2,8.1,71,14
48,2,11,89.5,12.8
51,1,14.2,100.7,15.2
14,1,8.7,75,15.5
27,1,8.5,80,12.3
51,1,13.7,102.3,14.3
37,1,11.6,87.6,15.5
23,1,11.1,82.4,15.5
43,2,11.6,89.6,14.3
18,1,8.4,74.5,14.1
19,2,8,74.4,13.5
19,1,8.1,74.7,13.5
52,1,12,88.6,14.5
25,1,10,80.7,14.5
35,2,10.2,86.5,13.6
48,1,13.4,96.6,14.7
21,2,7.5,73.5,13
30,2,9.9,81.6,13.5
17,1,8.3,74.6,12.8
44,2,10.3,88.5,13.8
23,1,9.6,80.6,13.9
45,1,15,97.7,16.5
38,1,11.7,91.5,14.2
25,2,10.5,83,14.9
25,1,8.2,76,11.5
45,2,10.1,89,12.7
22,2,9.2,76.6,13.9
24,2,9.6,76,13.7
53,2,12.2,92,13.9
37,2,10.8,83,14.4
32,1,12.2,89.6,14.5
37,1,12.3,90.8,14.8
31,2,8.8,76.8,12.5
36,2,11.6,86.2,13.5
21,2,9.2,76.1,13.7
53,2,11.6,88.4,14.5
38,1,11.3,85.6,14.5
14,2,8.7,81.6,12.8
50,1,12.7,98,13.3
32,1,9.8,83.2,13.2
49,1,14.2,96.6,15.5
21,2,9.7,81.6,14.2
47,2,13.9,98,15.5
25,2,10.5,83.3,13.9
45,1,12.9,94.3,14.2
39,1,10.3,85.8,13.6
18,2,7.5,72,14
27,2,10.8,86.3,13.7
34,1,10,79,14
59,2,13,98.5,14.5
42,1,10,79.5,13
33,2,8.4,74.1,12.6
57,1,14,91.5,16.5
20,1,9.6,75.3,15
32,2,7.7,76.2,11
60,1,15.2,103.3,15.4
40,1,12.6,88.4,15
37,1,10.3,82,13.1
47,2,11,85.3,14.5
40,2,13.5,97.4,14.3
22,2,7.7,75,12.8
37,2,8.4,76,12.4
30,2,9.7,78.8,13.2
44,1,11.8,93.7,13
36,1,11.6,83.6,14.6
31,1,12.9,89.1,16.1
31,1,8.3,72.2,14.3
54,1,13,97.6,13
51,2,16.2,104.7,15.3
37,2,10.3,84.1,13.5
33,1,11.1,86,14
16,2,6.9,70,12.6
47,2,11.5,90.8,14.3
22,2,7.4,72,13.6
55,2,13.1,98.3,13.8
15,1,8.5,76.4,13.9
43,2,9,84.6,12.3
52,1,12.4,95.9,14
16,1,7.3,73.4,12.7
60,1,14.5,95.3,15.3
20,1,8.3,72.5,13.4
52,1,13.3,93.7,15.4
21,1,9.7,77.7,14.9
21,2,9.4,78,14.1
58,2,11.7,90.7,14.1
27,2,11,85.7,14.5
44,1,9,85.2,11.7
34,1,11.5,88,14.7
49,2,11.2,90.3,14.2
60,1,13.5,103.7,13.8
48,1,13,99.8,14.4
24,1,8,78.8,13.7
28,1,9.2,78.6,13.6
21,2,10.7,80.6,15.7
58,2,14.3,96,16
35,2,10.9,85.3,13.6
29,2,9.4,75.5,14.1
35,1,9.5,89.5,12.6
28,2,10,83.5,13.7
48,1,14.2,98.4,15
15,2,7.4,76.9,11.5
45,2,10.6,91.8,12.3
45,1,8.3,76.6,13.1
13,1,5.4,64.7,11.4
19,2,7.2,73.5,11.8
36,1,10.3,87.5,13.8
24,2,6.3,70,12.5
51,2,10.6,89,13.5
47,2,13.1,95.5,15.5
13,1,5.7,65.8,12
18,2,10,79.5,14
58,1,13.4,93.2,14.7
37,1,13.7,96.2,15
26,2,8.5,75.5,12.5
51,2,14.6,99.3,15.2
15,2,7.8,73,13.8
37,2,11.2,85.8,13.8
60,2,12.4,94,14.3
34,1,11.4,87.2,14.3
18,1,9.1,75.5,14.3
47,2,10.4,83.1,13.9
46,2,11.5,85,14.5
25,1,11.3,80.8,15.6
14,1,9.8,74.1,15
39,2,11.7,93.4,14.3
18,1,7,70.1,12.7
38,1,10.3,87.4,13.3
48,2,12.5,92.3,14.7
58,2,12.6,90.1,15.2
13,2,8.3,72.1,15
45,1,13.9,97.3,14
39,2,13.3,96.8,14.6
35,1,11.7,88.3,13.7
26,1,9.3,78.4,14.5
58,2,15.7,100.9,15.6
23,1,9.9,80.7,12.7
28,2,8.6,78.6,12.6
36,2,10.4,87.1,14.7
28,1,11.5,84,14.5
52,2,12.8,97.6,13.8
40,2,11.9,90,15.7
48,2,12,87.8,14.5
36,1,11.1,82.7,14.8
17,2,9.9,77.2,14.4
57,2,15.1,99.6,15.4
35,2,9.7,84,13.5
24,2,8,74.2,12.3
50,2,13,93,14.4
33,1,11.2,83.5,14.7
56,2,15.5,100,16
35,1,10.1,83.4,13.9
34,1,10.4,84.4,14.2
49,1,13.7,97.9,15
25,2,8.1,75.8,12.8
57,2,14.4,97.4,15.7
30,1,8.6,73.7,13.1
47,2,14.3,95.1,14.8
24,1,11,83.5,15
47,2,13.7,98.8,14
40,1,11.8,89.4,14.5
49,2,15.4,102.2,15.3
15,1,7.9,72.3,13.9
59,2,13.8,99.2,14
50,1,15.3,101,13.3
17,2,7.2,68,12.9
21,1,8.5,75.3,14.3
50,1,15,101,13.5
29,1,10.5,82,13.8
18,1,10.5,77.3,15.2
51,2,15.3,95.2,16.7
47,2,12.6,90.5,15.5
54,2,14.3,96.1,15.3
19,1,7,72,13.8
33,1,12,85.3,15
42,2,10.4,82.4,14.2
35,1,11.3,84.1,15.3
52,1,12.6,89,15.3
36,2,11.4,82,14.3
22,1,9.8,77,13.8
25,2,7.8,73,12.9
50,2,11.8,86.5,13.3
33,1,12.2,88,14.2
49,2,13.2,100.2,13.5
56,1,14.9,103.5,14.1
49,2,11.4,85.8,14
14,1,7.4,72.7,13.3
51,2,12.7,90.5,15
26,2,10.3,81.6,14
22,2,9.8,77.8,14.2
57,2,13.6,101.2,13.6
51,2,10.9,87.1,13.2
17,2,7.8,73.8,13.1
41,2,11.2,85.6,13
14,2,7.2,72.7,12.4
42,1,13,90,15
18,1,8.1,70.9,13.7
41,1,11.9,86.5,14.8
38,1,12.4,87.6,14.6
16,2,9.8,72.8,12.6
49,1,15.4,97,15.6
38,2,12.5,87,16.1
44,1,11.9,82.8,15.6
19,2,6.8,69.7,12.5
48,2,12.9,93.8,14.6
25,2,9.5,78.6,14.4
22,2,9.4,79.5,14.5
52,2,12.3,91.6,14
20,2,8.5,74.2,14
33,1,10.6,84.4,14.6
20,1,9.8,81.3,13.3
36,1,10.6,81.6,13.4
33,2,10.8,83.9,14
37,2,9.3,80.3,14.1
13,2,6.9,69.4,12.5
51,2,13.2,92,14.8
39,1,11.6,88.5,13.5
39,2,9.7,77.3,13.3
57,1,15.1,102.7,14.4
52,1,16.1,101.2,14.7
46,2,9.9,82.3,13.2
18,2,8.4,76.6,14.3
37,1,11.4,88.4,12.9
26,1,11.6,82.7,15.4
54,1,13.9,95.7,14.3
31,1,9.8,84.1,14.1
46,2,11.2,86.2,13.4
37,1,10.8,79.1,15
38,2,11.1,83.1,14.5
24,2,8.5,74.1,14.4
39,2,9.4,78,14.1
16,1,8.2,73.8,14.3
53,1,10.6,85,13.6
31,2,10.6,80.4,14.5
42,1,13.8,91.3,15.2
37,2,10.6,87,13
25,1,10.8,82,14.8
15,2,8.6,74.1,14
41,1,13.5,95,15.2
16,1,9.7,76.3,15
40,2,14.7,93.2,15.5
24,1,10,78.8,14.4
51,2,12.4,91.1,13.7
31,2,10.8,80.5,14.2
43,2,13.1,88.5,14.8
43,1,11.2,80.2,14.1
22,1,9.6,79.7,13.3
48,1,14,94.2,14.7
40,1,11.2,86.1,13.8
55,2,13.4,94.2,14.7
24,2,9.7,75.8,13.3
51,1,16.2,99.7,15.4
49,1,10.9,91.4,12.4
52,1,11.4,89.8,13.7
36,2,10.7,89.4,13.1
39,1,12.7,85,15
32,2,10.6,86,13.3
15,2,8.7,71.2,13.5
47,2,15.6,94.2,15.9
28,1,10.8,79.3,13.8
51,1,15.9,98.2,15.8
22,2,8.3,74.8,12.9
32,1,12.4,88.1,14.1
32,1,10.8,81.7,13
36,1,13,89.2,15.7
15,1,7.7,69,13.1
58,1,14.5,101.7,14.4
24,1,9.7,78.3,13.5
55,2,13,92.4,14.4
58,2,14.6,99.3,15.6
24,1,10.8,81.4,13.8
16,1,9.6,75.2,13.7
51,2,12.3,88,13.8
28,2,9.1,78.3,13
34,2,10,79.2,13.6
51,1,14.9,97.4,13.9
27,1,11.3,84.7,13.7
49,1,14.7,98,14.4
47,1,13.2,98.2,13.2
33,2,11.1,84.8,13.5
15,1,8.5,71.7,13.8
31,1,11.3,82.5,14.6
42,2,10.4,81.1,13.2
58,1,15.3,96.7,15.5
44,2,11.9,89.6,14.1
39,1,12.1,90.5,14.5
35,1,10.2,81.2,14.3
36,1,10.5,85.4,14
39,2,11.2,86.5,14.8
27,1,9.5,76.3,15
60,1,10.9,90.1,13.2
21,2,10.3,83.3,14.1
42,2,9.5,83.5,13.2
17,2,7.3,72.3,12.5
46,2,14.7,101.5,14
44,2,13.7,101.5,14.6
53,1,11.1,87.1,13.3
20,1,8.7,78,12.7
42,2,11.3,85.5,14.4
29,2,10.6,80.6,13.5
53,1,16.9,110.2,15.5
29,2,8.3,73.8,13.7
58,2,14.5,99.5,15.4
55,2,11.8,93.2,13.3
48,1,12.9,94.4,15.5
36,1,10.1,81.7,13.5
30,2,7.5,72.5,12.5
15,1,7.7,72.5,13.1
31,2,9.9,81.8,13.2
28,1,10.8,85.2,13.4
50,2,12.3,98.7,13.9
29,1,10.5,82.3,14
34,2,8.3,78.6,12.2
50,1,13,93.4,14.1
32,1,9.9,83,13
31,1,9.1,79.9,13.8
29,1,8.5,75.3,12.9
50,2,11.5,88,14
32,2,14.2,96.3,16
37,1,12,96.5,13.8
45,1,10.9,90.2,13.2
21,2,7.8,72.3,13.7
59,1,14.1,98.8,14.9
40,1,11.4,83.2,15
57,2,12.4,91,13.1
33,1,10.3,80.5,14.9
43,1,14.3,94.5,16.5
23,2,7.9,75.4,12.2
35,1,7.7,76.1,12.5
26,2,8.6,77,13.2
37,1,10,82.3,13.3
21,2,6.6,69.6,11.8
57,2,16.1,96.6,17.3
23,2,7.8,76.8,12.2
29,1,10.3,81.3,13.6
52,1,13,93.1,12.6
30,2,9.6,77.5,12.6
34,1,11.1,84.3,14.5
36,1,11.9,83.3,15
31,1,10.7,80.3,14.9
22,2,8,74.8,12.8
36,1,11.2,84.4,13.1
59,1,12.7,98,13.3
52,2,13.7,98.1,14.8
38,2,13,94.1,14.8
49,1,12.1,95,13.5
35,2,9.2,80,12.9
44,1,11.5,89.5,13.5
17,1,6.8,71.5,11.8
49,2,10.3,85.5,13.2
17,2,8.5,73.2,14.1
13,1,7.1,70.4,13.4
34,1,10.2,85.5,14
41,2,12.8,88.4,15.2
21,2,8.2,71.6,13.1
33,2,10.4,80.4,14
20,2,9.1,76.4,13.4
16,1,8.7,73.1,14.4
32,2,9.7,82.1,13.7
21,2,8.1,72.7,12.6
42,1,12.2,87.9,14.5
32,1,10.2,76.7,14.5
47,1,13.1,92.2,15.8
44,2,12.5,91.1,13
33,1,9.9,79,13.7
38,1,11,87.1,13.1
18,2,8.4,74.1,13.4
41,2,13.4,88,15.8
59,2,14.9,101.2,15.3
40,1,12.5,90.5,15
37,2,9.6,83.5,13.5
24,2,9,76.4,13.8
43,2,12.3,87.4,15.4
60,2,18.8,107.2,17.2
36,1,14,93.5,15
16,1,8.8,76.5,14
19,2,8.4,75.7,12.5
57,2,14.1,97.6,14.5
46,2,10.2,86.5,13.1
30,2,10.1,79.1,14.7
55,2,11,87.5,14.6
47,1,13.2,91.8,15
31,2,10.1,85.7,13
36,1,14.2,94.6,16
21,2,9.1,77.2,13
59,1,14.6,100.1,14.4
52,1,12.2,92.2,14.2
49,2,14.2,96,16.4
36,1,10.4,83.9,13.2
57,2,12.5,93.6,14.5
33,1,11.6,86,14.8
24,1,8.1,74.3,12.5
40,1,12.2,89.3,15
60,2,15.4,107,15.4
23,1,9.1,75,13
51,1,15.9,94.5,16.5
49,2,11.6,88.1,14.3
57,2,12.5,89,14
34,1,9.4,79,13
19,1,9.9,74.2,14.8
15,1,8.8,73.7,14
45,1,14.8,93.4,17.3
39,2,10.4,82.4,14.5
59,2,14.4,102.8,14.4
50,1,14.1,94.3,15.5
45,1,11,88,13.9
21,1,8.8,77.7,13.3
59,1,12.1,97.1,14.5
59,2,12.9,96.8,13.7
46,2,10.7,87.1,13.2
25,2,6.2,68.3,11.8
33,2,8.8,82.1,12.4
36,2,8.2,76.1,13.2
15,2,5.4,65,10
53,1,14.9,96.4,15.3
35,2,11.4,87.8,13.3
19,1,9.2,79,13.3
52,1,9.9,85.6,11.9
27,1,9.4,77.9,13.6
60,1,15.4,100.5,13.3
21,1,8.8,77.7,12.3
32,1,8,79,12.5
17,1,7.5,73,12
50,2,12.5,92.1,13.6
23,1,9.2,75.4,13.3
41,1,9.7,81.5,12.2
17,2,8.2,73.2,13.4
25,2,8.9,79,13.1
24,1,9.6,80.3,12.5
52,1,13.4,97.6,13.8
37,2,12,88.2,14.1
21,1,8.8,74.8,13.3
52,1,14.2,94.9,14.4
16,2,6.2,68.5,11.9
28,2,8.8,79.7,13
19,1,7.1,73.4,12.2
24,1,9.6,77.8,13.4
18,1,8.6,77.7,12.4
13,2,6.1,66,11.5
47,1,12.8,98.3,13.3
16,2,8.7,74,13.3
52,2,16.5,97.9,16.3
35,2,15.1,96.6,15.8
14,2,6.9,67,12
38,1,10.7,79.1,14.4
51,1,14.3,94.3,15.3
50,1,17,101.7,15.5
53,2,12.7,95.7,14
17,1,7.6,71,12.8
54,2,13.5,100.8,14.3
51,2,12,94.9,13.5
52,1,11.4,93.9,12.9
26,2,9.8,77.8,13
59,1,13.3,95.5,15.5
16,1,8.2,72.4,13.2
15,2,5,65,9.3
39,1,12.2,89.9,13.4
17,1,8.8,71.3,13.9
29,1,11.1,83.2,14
52,2,16.5,102.2,15.8
31,2,10.8,87,13.7
29,2,10.8,86.2,13.3
52,1,14.3,101.6,14.2
23,1,8.9,76.2,13.3
56,1,13.2,97.7,13.3
36,2,10.5,86.6,13.9
26,1,9.3,78.8,13.2
51,1,14,97.7,13.9
24,2,8.8,76.8,12.4
35,1,10.9,80.9,14.2
15,2,6.2,68.9,11
39,1,10.4,84.9,13.5
25,2,9,75.1,13.5
34,2,10.2,86.5,12.1
48,1,14,93.6,14.2
59,1,13.7,94.4,14.7
51,2,11.5,86.7,13.8
57,2,10.4,83,13.3
45,1,11.7,90.8,13.3
52,1,14.8,102.5,14.3
16,2,5,65.4,9.7
50,2,12.4,90.3,14
14,2,4.9,62.9,10.5
38,2,8.9,79.5,11.4
30,1,12,85.7,14.6
53,1,16.8,101.5,16.1
26,1,7.6,73.1,11.8
24,2,8.8,77.6,12.1
58,1,12.9,97,13.2
33,1,10.8,81.8,13.9
49,1,11.8,91.4,13.6
36,1,11.7,85.4,14
47,1,12.4,92.3,13.4
55,1,12.1,88.3,13.9
24,2,11.1,81.5,14.6
53,1,14.5,98,14.4
23,2,7,72.2,12.2
